No.,Type,O,O1,O2,O3,O4,REAL,C,T,B,S,P,Viol,Lie,VC,VT,VB,VS,VP,AVC,AVT,AVB,AVS,AVP,Int1,Int2
178,SU TICH BAI ONG NAM,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1
179,CHIEC GIAY THOM,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1
180,BAN TOC DAI BAN,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1
181,TRONG NGHIA KINH TAI,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
182,A CHUC CHANG NGUU,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1
183,BON NGUOI BAN,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1
184,NGUOI CUOI MA,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1
185,VO CHANG TRUONG,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1
186,SU TICH KHAN TANG,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
187,NGAM NGAI TIM TRAM HAY LA SU TICH NUI MAU TU,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
188,CAI VET DO TREN MA CONG NUONG,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1
189,CHANG NGOC HOC KHON,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1
190,PHIEU LUU CUA ANH CHANG NGOC HAY LA LAM THEO LOI VO DAN,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
191,THIT GA THUOC CHONG,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1
192,HOA THUONG VA NGUOI THO GIAY,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1
193,HAI ANH EM VA CON CHO DA,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1
194,CHANG RE THONG MANH,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
195,LAM CHO CONG CHUA NOI DUOC,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1
196,RU NHAU DI TIM MAT ONG,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1
197,CO GAI LUA 1 THAY SAI XA TRUONG VA ONG QUAN HUYEN,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1
198,THAY LANG BAT DAT DI,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1
199,GIAN MAY TAO O VOI AI HAY LA TRUYEN PHUONG HOANG DAT,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1
200,CAI CHET CUA BON ONG SU,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
201,HAI BAY MUOI BA,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1
